Energy,Value,Error
0.01,0.0,0.0
0.02,2.98453e-11,0.1885
0.05,8.37211e-13,0.732
0.1,3.55355e-09,0.0284
0.2,7.66695e-10,0.055
0.3,4.34611e-09,0.0282
0.4,8.47277e-09,0.017
0.6,8.63435e-08,0.0055
0.8,4.95766e-08,0.0074
1.0,4.53767e-08,0.0067
1.22,5.20406e-08,0.0065
1.44,1.58208e-08,0.0121
1.66,1.87257e-08,0.0132
2.0,2.05899e-08,0.0103
2.5,2.83249e-08,0.0119
3.0,1.80946e-08,0.0109
4.0,2.18178e-08,0.0119
5.0,1.07624e-08,0.0251
6.5,4.0138e-09,0.0238
8.0,2.57693e-10,0.077
10.0,4.30425e-12,0.5808
12.0,4.10353e-12,0.524
14.0,5.91039e-12,0.3805
20.0,7.80599e-12,0.3954
