Energy,Value,Error
1e-07,0.0,0.0
4.14e-07,0.0,0.0
5.316e-07,0.0,0.0
6.826e-07,0.0,0.0
8.764e-07,0.0,0.0
1.125e-06,1.70725e-12,0.2848
1.445e-06,1.48553e-11,0.118
1.855e-06,3.29362e-11,0.0873
2.382e-06,6.55085e-11,0.0763
3.059e-06,1.07071e-10,0.0686
3.928e-06,1.32562e-10,0.059
5.043e-06,1.86569e-10,0.0523
6.476e-06,2.34253e-10,0.0468
8.315e-06,3.00722e-10,0.0461
1.068e-05,3.92277e-10,0.0353
1.371e-05,4.95599e-10,0.0338
1.76e-05,5.22477e-10,0.0315
2.26e-05,4.70131e-10,0.0321
2.902e-05,6.35078e-10,0.0273
3.727e-05,3.729e-10,0.0343
4.785e-05,4.80518e-10,0.0375
6.144e-05,5.02952e-10,0.0377
7.889e-05,8.46628e-10,0.024
0.0001013,1.45521e-09,0.018
0.0001301,3.04252e-09,0.014
0.000167,2.78591e-09,0.0133
0.0002145,2.54259e-09,0.0138
0.0002754,1.71733e-09,0.0137
0.0003536,3.89941e-09,0.0097
0.000454,4.23348e-09,0.0082
0.0005829,5.06915e-09,0.0085
0.0007485,1.38854e-08,0.0045
0.0009611,1.50516e-08,0.0045
0.001234,1.81694e-08,0.0046
0.001585,2.56251e-08,0.004
0.002035,3.34574e-08,0.0033
0.002249,1.69257e-08,0.0046
0.002485,2.16752e-08,0.004
0.002613,1.08301e-08,0.0057
0.002747,1.05598e-08,0.006
0.003035,2.25558e-08,0.0038
0.003355,2.2522e-08,0.0039
0.003707,2.35323e-08,0.004
0.004307,3.76824e-08,0.003
0.005531,7.14568e-08,0.0021
0.007102,1.08693e-07,0.0017
0.009119,1.48543e-07,0.0015
0.01059,1.1551e-07,0.0016
0.01171,9.06143e-08,0.0018
0.01503,2.83972e-07,0.0011
0.0193,4.01083e-07,0.0009
0.02187,2.57044e-07,0.0011
0.02358,1.75176e-07,0.0014
0.02418,6.21936e-08,0.0023
0.02479,6.38309e-08,0.0023
0.02606,1.3462e-07,0.0016
0.027,1.0088e-07,0.0018
0.0285,1.63251e-07,0.0015
0.03183,3.7351e-07,0.0009
0.03431,2.86604e-07,0.0011
0.04087,7.94768e-07,0.0007
0.04631,6.91776e-07,0.0007
0.05248,8.12178e-07,0.0007
0.05656,5.46783e-07,0.0008
0.06738,1.43092e-06,0.0005
0.07202,5.59682e-07,0.0008
0.0795,8.25354e-07,0.0007
0.0825,2.9874e-07,0.0012
0.08652,3.66516e-07,0.0011
0.09804,8.65782e-07,0.0007
0.1111,8.66505e-07,0.0007
0.1168,3.75845e-07,0.0011
0.1228,3.93466e-07,0.0011
0.1291,4.1106e-07,0.0011
0.1357,4.27224e-07,0.0011
0.1426,4.41044e-07,0.001
0.15,4.66946e-07,0.001
0.1576,4.70865e-07,0.001
0.1657,4.92944e-07,0.001
0.1742,5.07596e-07,0.001
0.1832,5.24483e-07,0.001
0.1925,5.2768e-07,0.001
0.2024,5.50502e-07,0.0009
0.2128,5.70072e-07,0.0009
0.2237,5.8874e-07,0.0009
0.2352,6.10446e-07,0.0009
0.2472,6.22828e-07,0.0009
0.2732,1.26371e-06,0.0006
0.2872,6.27855e-07,0.0009
0.2945,3.1578e-07,0.0013
0.2972,1.15605e-07,0.0022
0.2985,5.53049e-08,0.0031
0.302,1.48472e-07,0.0019
0.3337,1.30149e-06,0.0006
0.3688,1.35363e-06,0.0006
0.3877,6.93886e-07,0.0009
0.4076,7.09068e-07,0.0009
0.4505,1.45849e-06,0.0006
0.4979,1.50603e-06,0.0006
0.5234,7.70142e-07,0.0008
0.5502,7.80184e-07,0.0008
0.5784,7.85488e-07,0.0008
0.6081,7.91464e-07,0.0008
0.6393,7.91031e-07,0.0008
0.6721,7.79331e-07,0.0008
0.7065,7.59674e-07,0.0008
0.7427,7.43163e-07,0.0008
0.7808,7.1897e-07,0.0008
0.8209,7.01811e-07,0.0008
0.8629,6.76016e-07,0.0008
0.9072,6.43472e-07,0.0008
0.9617,6.81411e-07,0.0008
1.003,4.35811e-07,0.001
1.108,8.47431e-07,0.0007
1.165,3.81506e-07,0.0011
1.225,3.44951e-07,0.0011
1.287,3.09726e-07,0.0013
1.353,2.8391e-07,0.0013
1.423,2.56759e-07,0.0013
1.496,2.28971e-07,0.0017
1.572,1.97671e-07,0.0016
1.653,1.75783e-07,0.0016
1.738,1.56217e-07,0.0017
1.827,1.37487e-07,0.0019
1.921,1.24445e-07,0.002
2.019,1.11065e-07,0.0021
2.122,1.01099e-07,0.0022
2.231,9.21858e-08,0.0023
2.307,5.75551e-08,0.0029
2.346,2.7863e-08,0.0043
2.365,1.3096e-08,0.006
2.385,1.34725e-08,0.0062
2.466,5.205e-08,0.0032
2.592,7.34353e-08,0.0026
2.725,6.99302e-08,0.0026
2.865,6.60553e-08,0.0026
3.012,6.28845e-08,0.0027
3.166,5.96972e-08,0.0027
3.329,5.8344e-08,0.0028
3.679,1.10626e-07,0.002
4.066,1.0725e-07,0.002
4.493,1.06124e-07,0.002
4.724,5.46614e-08,0.0026
4.966,5.65312e-08,0.0026
5.22,5.83807e-08,0.0025
5.488,6.08279e-08,0.0025
5.77,6.35494e-08,0.0024
6.065,6.44012e-08,0.0024
6.376,6.60762e-08,0.0023
6.592,4.42221e-08,0.0028
6.703,2.24162e-08,0.0039
7.047,6.73635e-08,0.0023
7.408,6.7887e-08,0.0022
7.788,6.90569e-08,0.0022
8.187,7.03496e-08,0.0022
8.607,7.21035e-08,0.0021
9.048,7.46289e-08,0.0021
9.512,7.7671e-08,0.002
10.0,8.8497e-08,0.0019
10.51,1.77613e-07,0.0013
11.05,1.88746e-07,0.0013
11.62,1.9765e-07,0.0012
12.21,2.03936e-07,0.0012
12.52,1.06928e-07,0.0017
12.84,1.09967e-07,0.0016
13.5,2.25725e-07,0.0011
13.84,1.14741e-07,0.0016
14.19,4.41959e-08,0.0024
14.55,2.44839e-10,0.0387
14.92,2.58282e-10,0.0409
15.68,4.8224e-10,0.0304
16.49,4.95304e-10,0.0299
16.9,2.50636e-10,0.0423
17.33,2.41761e-10,0.0418
19.64,1.18686e-09,0.0188
