Energy,Value,Error
0.01,0.0,0.0
0.02,9.74174e-09,0.0364
0.05,7.80038e-09,0.0406
0.1,1.75717e-07,0.0075
0.2,5.44729e-07,0.004
0.3,5.47644e-07,0.0041
0.4,1.14707e-06,0.0025
0.6,4.71783e-06,0.0012
0.8,4.49946e-06,0.0011
1.0,4.50658e-06,0.0011
1.22,3.71822e-06,0.0011
1.44,3.71516e-06,0.0011
1.66,2.55642e-06,0.0013
2.0,3.07384e-06,0.0012
2.5,2.80051e-06,0.0012
3.0,1.75521e-06,0.0015
4.0,1.65627e-06,0.0016
5.0,6.09173e-07,0.0026
6.5,2.41949e-07,0.0042
8.0,4.04195e-08,0.0103
10.0,6.73362e-09,0.0303
12.0,1.35687e-10,0.1755
14.0,1.37446e-10,0.2198
20.0,1.38533e-10,0.1716
