Energy,Value,Error
0.01,0.0,0.0
0.02,9.74174e-07,0.0364
0.05,2.6001266666666664e-07,0.0406
0.1,3.5143400000000002e-06,0.0075
0.2,5.44729e-06,0.004
0.3,5.476440000000001e-06,0.0041
0.4,1.1470699999999997e-05,0.0025
0.6,2.3589150000000008e-05,0.0012
0.8,2.2497299999999992e-05,0.0011
1.0,2.2532900000000002e-05,0.0011
1.22,1.6901000000000003e-05,0.0011
1.44,1.6887090909090913e-05,0.0011
1.66,1.162009090909091e-05,0.0013
2.0,9.040705882352939e-06,0.0012
2.5,5.60102e-06,0.0012
3.0,3.51042e-06,0.0015
4.0,1.65627e-06,0.0016
5.0,6.09173e-07,0.0026
6.5,1.6129933333333334e-07,0.0042
8.0,2.6946333333333334e-08,0.0103
10.0,3.36681e-09,0.0303
12.0,6.78435e-11,0.1755
14.0,6.8723e-11,0.2198
20.0,2.3088833333333336e-11,0.1716
