Energy,Value,Error
1e-07,0.0,0.0
4.14e-07,0.0,0.0
5.316e-07,0.0,0.0
6.826e-07,0.0,0.0
8.764e-07,0.0,0.0
1.125e-06,1.35546e-11,0.1921
1.445e-06,2.59958e-11,0.1504
1.855e-06,2.56178e-11,0.1381
2.382e-06,4.09241e-11,0.1048
3.059e-06,3.88145e-11,0.1095
3.928e-06,5.49325e-11,0.1159
5.043e-06,5.1851e-11,0.092
6.476e-06,3.99865e-11,0.1095
8.315e-06,4.85702e-13,1.0
1.068e-05,6.17588e-11,0.0893
1.371e-05,2.17554e-10,0.0506
1.76e-05,1.70613e-10,0.0556
2.26e-05,3.72093e-10,0.0408
2.902e-05,5.77452e-10,0.0365
3.727e-05,5.48051e-10,0.0373
4.785e-05,1.03524e-09,0.0268
6.144e-05,1.22192e-09,0.0256
7.889e-05,1.51957e-09,0.0214
0.0001013,1.50513e-09,0.0213
0.0001301,2.85363e-09,0.0162
0.000167,3.24221e-09,0.0151
0.0002145,3.1923e-09,0.0137
0.0002754,4.28318e-09,0.0125
0.0003536,6.7774e-09,0.0099
0.000454,6.798e-09,0.0098
0.0005829,1.11561e-08,0.008
0.0007485,1.26756e-08,0.0074
0.0009611,1.71457e-08,0.0062
0.001234,2.13478e-08,0.0054
0.001585,2.82442e-08,0.0047
0.002035,3.65974e-08,0.0041
0.002249,1.74437e-08,0.0058
0.002485,1.94905e-08,0.0056
0.002613,1.04867e-08,0.0076
0.002747,1.09317e-08,0.0074
0.003035,2.40614e-08,0.005
0.003355,2.69157e-08,0.0048
0.003707,2.94002e-08,0.0046
0.004307,5.09865e-08,0.0035
0.005531,1.05655e-07,0.0024
0.007102,1.38078e-07,0.0021
0.009119,1.81886e-07,0.0019
0.01059,1.34786e-07,0.0022
0.01171,1.04484e-07,0.0025
0.01503,3.14249e-07,0.0014
0.0193,4.17474e-07,0.0013
0.02187,2.58053e-07,0.0016
0.02358,1.73641e-07,0.002
0.02418,6.10617e-08,0.0033
0.02479,6.26676e-08,0.0033
0.02606,1.30694e-07,0.0023
0.027,9.79784e-08,0.0026
0.0285,1.56426e-07,0.0021
0.03183,3.51854e-07,0.0014
0.03431,2.66559e-07,0.0016
0.04087,7.19657e-07,0.001
0.04631,6.02301e-07,0.0011
0.05248,6.72913e-07,0.001
0.05656,4.21036e-07,0.0013
0.06738,1.03162e-06,0.0008
0.07202,4.40287e-07,0.0013
0.0795,7.07066e-07,0.001
0.0825,2.82477e-07,0.0016
0.08652,3.79013e-07,0.0014
0.09804,1.05775e-06,0.0008
0.1111,3.93032e-07,0.0014
0.1168,1.43315e-07,0.0024
0.1228,1.53371e-07,0.0023
0.1291,1.62318e-07,0.0023
0.1357,1.74258e-07,0.0022
0.1426,1.84336e-07,0.0021
0.15,2.00495e-07,0.002
0.1576,2.08535e-07,0.002
0.1657,2.25626e-07,0.0019
0.1742,2.39133e-07,0.0019
0.1832,2.57008e-07,0.0018
0.1925,2.68314e-07,0.0018
0.2024,2.87927e-07,0.0017
0.2128,3.06599e-07,0.0017
0.2237,3.24297e-07,0.0016
0.2352,3.46377e-07,0.0016
0.2472,3.6366e-07,0.0015
0.2732,7.98354e-07,0.001
0.2872,4.35284e-07,0.0014
0.2945,2.27299e-07,0.0019
0.2972,8.45361e-08,0.0031
0.2985,4.08718e-08,0.0045
0.302,1.09694e-07,0.0027
0.3337,1.00106e-06,0.0009
0.3688,1.11974e-06,0.0009
0.3877,6.05445e-07,0.0012
0.4076,6.38405e-07,0.0011
0.4505,1.37277e-06,0.0008
0.4979,1.50628e-06,0.0008
0.5234,8.02409e-07,0.001
0.5502,8.36037e-07,0.001
0.5784,8.68622e-07,0.001
0.6081,9.0393e-07,0.001
0.6393,9.34854e-07,0.0009
0.6721,9.65175e-07,0.0009
0.7065,9.94953e-07,0.0009
0.7427,1.02843e-06,0.0009
0.7808,1.06208e-06,0.0009
0.8209,1.09294e-06,0.0009
0.8629,1.11908e-06,0.0009
0.9072,1.156e-06,0.0009
0.9617,1.38111e-06,0.0008
1.003,9.83481e-07,0.0013
1.108,1.91509e-06,0.0007
1.165,9.98724e-07,0.001
1.225,1.02133e-06,0.001
1.287,1.02986e-06,0.001
1.353,1.0671e-06,0.0009
1.423,1.09977e-06,0.0009
1.496,1.11299e-06,0.0009
1.572,1.12277e-06,0.0009
1.653,1.15547e-06,0.0009
1.738,1.16732e-06,0.0009
1.827,1.17368e-06,0.0009
1.921,1.18915e-06,0.0009
2.019,1.18504e-06,0.0009
2.122,1.19327e-06,0.0009
2.231,1.20253e-06,0.0009
2.307,8.0475e-07,0.0011
2.346,4.01401e-07,0.0015
2.365,1.92709e-07,0.0021
2.385,2.01182e-07,0.002
2.466,7.95107e-07,0.0011
2.592,1.18049e-06,0.0009
2.725,1.17819e-06,0.0009
2.865,1.16271e-06,0.0009
3.012,1.14032e-06,0.0009
3.166,1.11563e-06,0.0009
3.329,1.09953e-06,0.0009
3.679,2.08934e-06,0.0007
4.066,1.94782e-06,0.0007
4.493,1.78291e-06,0.0007
4.724,8.28816e-07,0.001
4.966,7.82812e-07,0.001
5.22,7.38116e-07,0.001
5.488,6.9736e-07,0.0011
5.77,6.54635e-07,0.0011
6.065,6.10107e-07,0.0011
6.376,5.74986e-07,0.0011
6.592,3.60791e-07,0.0014
6.703,1.75333e-07,0.002
7.047,5.03122e-07,0.0012
7.408,4.72882e-07,0.0012
7.788,4.46675e-07,0.0012
8.187,4.23391e-07,0.0012
8.607,4.05015e-07,0.0012
9.048,3.92672e-07,0.0012
9.512,3.87903e-07,0.0012
10.0,3.86597e-07,0.0012
10.51,7.67465e-07,0.0008
11.05,7.92095e-07,0.0008
11.62,8.20621e-07,0.0008
12.21,8.36963e-07,0.0008
12.52,4.35832e-07,0.0011
12.84,4.48681e-07,0.0011
13.5,9.1256e-07,0.0007
13.84,4.66871e-07,0.001
14.19,2.14268e-07,0.0015
14.55,2.52523e-09,0.0178
14.92,2.10579e-09,0.0189
15.68,3.11329e-09,0.0161
16.49,1.9389e-09,0.0195
16.9,6.69871e-10,0.034
17.33,5.57653e-10,0.0392
19.64,1.20475e-09,0.0248
