Energy,Value,Error
0.01,0.0,0.0
0.02,6.47108e-07,0.0332
0.05,4.877833333333333e-10,0.4975
0.1,1.1382479999999999e-07,0.047
0.2,4.440379999999999e-06,0.0032
0.3,2.4515700000000004e-06,0.0043
0.4,5.215939999999998e-06,0.0027
0.6,1.1401800000000002e-05,0.0012
0.8,1.1381149999999995e-05,0.0011
1.0,1.1746400000000003e-05,0.001
1.22,8.966454545454548e-06,0.0011
1.44,9.065500000000002e-06,0.0011
1.66,6.252909090909092e-06,0.0012
2.0,4.838264705882352e-06,0.0011
2.5,2.9749e-06,0.0012
3.0,1.85197e-06,0.0015
4.0,8.69104e-07,0.0015
5.0,3.24342e-07,0.0025
6.5,8.875666666666668e-08,0.0039
8.0,1.4744533333333335e-08,0.0096
10.0,1.766245e-09,0.0241
12.0,3.604915e-11,0.1675
14.0,5.73595e-11,0.1657
20.0,1.36499e-11,0.1661
