Energy,Value,Error,Offset
4.0,0.013822791728327578,0.0012,on-axis
5.0,1.3867799368499796,0.0013,on-axis
6.0,1.3873784562176756,0.0013,on-axis
7.0,1.4853843022722166,0.0014,on-axis
8.0,1.2280408133022442,0.0013,on-axis
9.0,1.2179512881507675,0.0014,on-axis
10.0,1.2492535669383171,0.0015,on-axis
11.0,1.2807341277774078,0.0015,on-axis
12.0,1.137030620855378,0.0015,on-axis
13.0,1.287675079913327,0.0015,on-axis
14.0,1.360703809177643,0.0015,on-axis
15.0,1.4092224008735215,0.0015,on-axis
16.0,1.547836830457616,0.0015,on-axis
17.0,1.7623532617408595,0.0016,on-axis
18.0,1.8582740993726545,0.0016,on-axis
19.0,1.956712357588122,0.0017,on-axis
20.0,1.9651496594936038,0.0017,on-axis
21.0,2.01193010253285,0.0017,on-axis
22.0,2.1032086654462114,0.0018,on-axis
23.0,2.165416947114646,0.0018,on-axis
24.0,2.236782482642927,0.0019,on-axis
25.0,2.3771645932647916,0.0019,on-axis
26.0,2.5303364477883576,0.0019,on-axis
27.0,2.696902900426824,0.002,on-axis
28.0,2.8461288147692034,0.0021,on-axis
29.0,3.0907643423877857,0.0022,on-axis
30.0,3.2511196258625126,0.0022,on-axis
31.0,3.417279825050882,0.0022,on-axis
32.0,3.7064511695573654,0.0021,on-axis
33.0,3.8828261191227127,0.0021,on-axis
34.0,3.6449648048141,0.0023,on-axis
35.0,3.4338205565802036,0.0024,on-axis
36.0,3.8251205359134173,0.0023,on-axis
37.0,5.190924266854396,0.0021,on-axis
38.0,8.931933143792353,0.002,on-axis
39.0,17.78900278618054,0.0019,on-axis
40.0,27.721120265842316,0.0018,on-axis
41.0,25.71785377816305,0.002,on-axis
42.0,11.371279737735208,0.0031,on-axis
43.0,2.065765935697624,0.0069,on-axis
44.0,0.13684888779530835,0.0292,on-axis
