Energy,Value,Error,Offset
5.0,9.260739805395757e-05,0.0019,on-axis
6.0,0.00868021328815505,0.002,on-axis
7.0,0.007856339014249673,0.002,on-axis
8.0,0.00740954602924061,0.0022,on-axis
9.0,0.007178792729258159,0.0023,on-axis
10.0,0.0071860031746509385,0.0024,on-axis
11.0,0.007590532317589558,0.0026,on-axis
12.0,0.0077181401241361745,0.0026,on-axis
13.0,0.008115817403997867,0.0027,on-axis
14.0,0.00867557134968388,0.0027,on-axis
15.0,0.009536825846195458,0.0026,on-axis
16.0,0.010364662657424724,0.0028,on-axis
17.0,0.011222519491504022,0.0029,on-axis
18.0,0.01234784089664015,0.003,on-axis
19.0,0.013142842988875046,0.003,on-axis
20.0,0.013542121017841913,0.0032,on-axis
21.0,0.01374244197399275,0.0034,on-axis
22.0,0.01492600530166607,0.0034,on-axis
23.0,0.01572189626646094,0.0034,on-axis
24.0,0.016410792473992537,0.0035,on-axis
25.0,0.01683528715528581,0.0035,on-axis
26.0,0.01749078343677713,0.0035,on-axis
27.0,0.017887231936797626,0.0035,on-axis
28.0,0.018013099691638407,0.0036,on-axis
29.0,0.01860921742220338,0.0037,on-axis
30.0,0.018891642663642974,0.0037,on-axis
31.0,0.018805194627878573,0.0038,on-axis
32.0,0.018545106768349216,0.0039,on-axis
33.0,0.0188990137417689,0.0041,on-axis
34.0,0.020901576733653823,0.0039,on-axis
35.0,0.02523267165465579,0.0037,on-axis
36.0,0.027639537133348775,0.0036,on-axis
37.0,0.02569475759079327,0.0038,on-axis
38.0,0.03879257593544685,0.0035,on-axis
39.0,0.09668654365158416,0.0027,on-axis
40.0,0.17129089543182477,0.0024,on-axis
41.0,0.16069826493561468,0.0026,on-axis
42.0,0.06398575369540149,0.0043,on-axis
43.0,0.008825780279087075,0.0108,on-axis
44.0,0.0007354177601615016,0.0416,on-axis
