Energy,Value,Error
1e-08,1.6791201576316703e-07,0.0011871956137650185
2.15e-08,4.3010996239683933e-07,0.0006419361122735676
4.64e-08,1.0158225898375652e-06,0.0004611835903523907
1e-07,1.171973772738993e-06,0.00046788626967721625
2.15e-07,4.6149755195765075e-07,0.0007034485577479894
4.64e-07,1.8002924434499844e-07,0.0014072912678142417
1e-06,1.6773214327204774e-07,0.001352118577919074
2.15e-06,1.6910345268516064e-07,0.0014666351982064792
4.64e-06,1.7367702132225646e-07,0.0012947544514417817
1e-05,1.7847477988153083e-07,0.001301630946167649
2.15e-05,1.8334094633194217e-07,0.0013262735546687348
4.64e-05,1.9091321735915725e-07,0.0013838370613745413
0.0001,1.9711662695044987e-07,0.0012404772873505538
0.000215,2.0371240154530707e-07,0.0013616121360832188
0.000464,2.1289935328288409e-07,0.001342040329974657
0.001,2.2215931816662794e-07,0.0013674182242723078
0.00215,2.326507302537687e-07,0.0012708133565325413
0.00464,2.468191826020537e-07,0.0012548644560969391
0.01,2.6505384860120037e-07,0.0011907020524550942
0.0215,2.935845766171929e-07,0.0011298665824237629
0.0464,3.4702497819971586e-07,0.0011581680336709777
0.1,4.5088168140084355e-07,0.0009692890686970205
0.2,6.381469793475545e-07,0.0009636645160657294
0.4,8.936251290648176e-07,0.0010175985447818698
0.8,1.375853536818008e-06,0.0008259775321502915
1.4,1.2966001156974292e-06,0.0009844240801495435
2.5,1.4160365955512759e-06,0.000955438867204264
4.0,8.906126397969733e-07,0.0012382368773012679
6.5,3.980958076882251e-07,0.0017796635132233598
20.0,8.508658408560206e-08,0.0040952619913528256
