Cells,Value,Error
Blanket_outboard_t3_1,0.10726618584105925,0.00016648722310700725
Blanket_outboard_t3_2,0.07956238995988342,0.0001917490284022267
Blanket_outboard_t3_3,0.07955436009256328,0.0001966724134900131
Blanket_outboard_b2_1,0.08248393554369275,0.00018102236785701804
Blanket_outboard_b2_2,0.06071012722895247,0.00023493919134125792
Blanket_outboard_b2_3,0.06071663309273505,0.0002118001566073541
Blanket_outboard_m2_1,0.13643056347531762,0.00015369766284463262
Blanket_outboard_m2_2,0.1363538974662478,0.00015241257788286603
Blanket_outboard_m3_1,0.13143803041960866,0.00016846807367359675
Blanket_outboard_m3_2,0.1313483680136964,0.00015443642318719165
Blanket_outboard_t4,0.06783907096122777,0.0001928084405329526
Blanket_outboard_b1,0.06876199341006659,0.00019173302717478307
Blanket_t1_1,0.027335931516518714,0.0003577313588283179
Blanket_t1_2,0.02732795716455773,0.000327775397847005
Blanket_outboard_t2_1,0.033301391451086015,0.00028197926519069657
Blanket_outboard_t2_2,0.02842524347721814,0.0003244305388816847
Blanket_outboard_t2_3,0.02841720783019589,0.0002914703799366338
Blanket_outboard_m1_1,0.03416526141120267,0.0002882811706941848
Blanket_outboard_m1_2,0.03417358961188353,0.00028280068693909197
Blanket_outboard_m4_1,0.034921201800302476,0.0002797855215373583
Blanket_outboard_m4_2,0.0349177503312313,0.00025664778255716825
Blanket_inboard_m_1,0.09475092237262041,0.00018941676972436747
Blanket_inboard_m_2,0.057884116643595405,0.00020017171143103582
Blanket_inboard_m_3,0.05788700364613522,0.00022938573910576997
Blanket_inboard_b1_1,0.037704512154385875,0.0002672922600657944
Blanket_inboard_b1_2,0.02677043543436381,0.0003608611465438702
Blanket_inboard_b1_3,0.026780637994486486,0.00030443917668756713
Blanket_inboard_t2_1,0.006866503725010811,0.0005388837123350667
Blanket_inboard_t2_2,0.005739676017756873,0.0006258227843099975
Blanket_inboard_t2_3,0.005743140217428258,0.0006347029695554891
Blanket_inboard_t4_1,0.03664870238698125,0.00031258840759995946
Blanket_inboard_t4_2,0.02570536462656201,0.00028669103683994006
Blanket_inboard_t4_3,0.025693975737612097,0.00034342544584117974
Blanket_inboard_t3_1,0.015332042684076537,0.000418872667609437
Blanket_inboard_t3_2,0.012079352558977647,0.00044469475796311906
Blanket_inboard_t3_3,0.01206413858113309,0.0004240997817982558
Blanket_inboard_b2_1,0.01099841936453422,0.00042171677035843756
Blanket_inboard_b2_2,0.008727210475556519,0.0004896603264808816
Blanket_inboard_b2_3,0.008740649348867157,0.0005181097283583435
Blanket_t1_3,0.0027931832433468534,0.0007223550813478746
