Energy,Value,Error
0.01,7.984753684579709e-11,0.05469292301596088
0.02,3.4763635313375336e-11,0.04164589333297123
0.049999999999999996,4.875904978325996e-10,0.013605053159752972
0.09999999999999999,6.026978309904741e-09,0.004152523958109552
0.19999999999999998,8.48182013935521e-08,0.0010728458750629147
0.3,1.0405211477672855e-07,0.000976879682916977
0.39999999999999997,8.464784777331786e-08,0.001226221147425856
0.6,1.5128001603364017e-07,0.0008416896134094645
0.7999999999999999,5.394533152133393e-08,0.0013065064057993158
1.0,3.9555028964488374e-08,0.0014330078078184638
1.22,3.274335235305901e-08,0.0014961528494251797
1.44,2.6175209646848124e-08,0.0017111869659612302
1.66,2.580649084237707e-08,0.0017013987731959335
2.0,4.4410638867440846e-08,0.0014522913778856428
2.5,3.887593947075821e-08,0.0014283079733326404
3.0,3.259084105670572e-08,0.0015271315324732943
4.0,5.814398255962619e-08,0.001097147611634636
5.0,4.663716916145527e-08,0.0014284397783592365
6.5,1.003068190628852e-07,0.0009709040795614311
8.0,7.018522454420715e-08,0.0010517638586622854
10.0,2.1874330986684583e-11,0.06574990226085174
12.0,6.379602693209109e-12,0.10753678372560223
14.0,0.0,
20.0,0.0,
