Energy,Value,Error
0.01,5.499787477214573e-10,0.01169883986190388
0.02,1.5167905096172374e-09,0.005506128424576673
0.049999999999999996,4.223895233137308e-07,0.0004169326341548107
0.09999999999999999,9.57415958368994e-07,0.0003033523791039888
0.19999999999999998,7.841404346340455e-07,0.0003598626378728339
0.3,3.979062817088187e-07,0.0005172134493514845
0.39999999999999997,2.8216947636929334e-07,0.00048123674679375873
0.6,4.480801606406766e-07,0.00040578277322942064
0.7999999999999999,1.5922800640359666e-07,0.0006449257068281985
1.0,1.159189474321398e-07,0.0005721703880645742
1.22,1.0165666325752994e-07,0.0006848584361969444
1.44,8.562673954430604e-08,0.0006825266702626064
1.66,7.340922671604896e-08,0.0007109079866394005
2.0,1.0078393822618724e-07,0.000613748779143762
2.5,1.8529995333705383e-07,0.0004756128385941972
3.0,9.117370646502261e-08,0.0006635838617607163
4.0,1.4388932083218075e-07,0.000469094543230571
5.0,3.483085427754186e-07,0.0003663588051164861
6.5,1.266189801102413e-07,0.0006243060144656812
8.0,1.2929431924400572e-07,0.0005579849459263404
10.0,4.419524585051987e-08,0.0009005166413029236
12.0,1.5345413733032083e-10,0.014398488591242478
14.0,3.181961025227391e-11,0.0348663169658379
20.0,1.8616571235447495e-11,0.046675265618435845
