Energy,Value,Error
0.01,1.3059495709317344e-09,0.0866299672982931
0.02,7.521677274251278e-10,0.09835421788885344
0.049999999999999996,3.188898001433225e-09,0.03694682808420608
0.09999999999999999,1.7141708737990493e-08,0.012527525569164028
0.19999999999999998,7.008199201409005e-09,0.013147686627786113
0.3,2.098189586346297e-08,0.00831632800743427
0.39999999999999997,3.784371345753142e-08,0.005561017476267239
0.6,8.131277894598771e-08,0.002698699375234856
0.7999999999999999,4.839601327836758e-08,0.0032083341013501737
1.0,5.324842865750915e-08,0.003131776071503073
1.22,4.661895473222281e-08,0.0030319817926392468
1.44,4.344423339838085e-08,0.0029834731150222113
1.66,4.1222456651071686e-08,0.0030164294587904073
2.0,3.8728191505505424e-08,0.0030436695923542487
2.5,3.2457501840731844e-08,0.0023011059524038905
3.0,2.4773653050741988e-08,0.0024644144709904
4.0,1.4852488463081577e-08,0.0024884565755801833
5.0,5.922364145789926e-09,0.003914067602374912
6.5,1.3161571299527696e-09,0.0071092817210277786
8.0,8.106543068574556e-11,0.026758631018353473
10.0,7.757639425355376e-14,0.4951014400174708
12.0,0.0,
14.0,6.619006761172177e-14,0.5886509146953486
20.0,2.2877059352020623e-14,1.0
