Energy,Value,Error
0.413,1.2348710890961861e-05,0.0020681724110010987
0.433,1.5710654088663854e-05,0.008412160928027237
0.453,1.553655618621909e-05,0.007014323524401904
0.473,1.5449626415855904e-05,0.006596305617430743
0.495,1.555299926526177e-05,0.008340634829457695
0.517,0.00010913744972824885,0.003353879334938593
0.538,1.2805440747531091e-05,0.008616573533613364
0.562,1.1841300154479128e-05,0.008032842788102892
0.585,1.1433656381155023e-05,0.008558326736040725
0.609,1.2364192533062888e-05,0.009601213629891936
0.632,1.191701063652264e-05,0.01177263735040607
0.657,1.0393551515859352e-05,0.009484240505772264
0.683,1.0559332478952839e-05,0.010227890869966698
0.709,9.83897823561633e-06,0.008719804707116788
0.735,1.1584917029913792e-05,0.0073855766796095505
0.761,1.1779854862944974e-05,0.008499400486642881
0.789,1.131326484239754e-05,0.008482545821176996
0.817,1.3967016411064536e-05,0.00708606393624061
0.874,1.1807171704876673e-05,0.006226565804684981
0.903,1.4718463669065496e-05,0.007752908771616029
0.933,1.4997005723984326e-05,0.00641832782433063
0.964,1.0779757026626977e-05,0.008433287615331828
0.993,9.472704497771432e-06,0.008960678320493829
1.03,1.1101725078740534e-05,0.006453075211809072
1.06,1.0198915058776832e-05,0.008006014755881865
1.09,9.643603138862807e-06,0.008624688530523544
1.12,9.966585449742683e-06,0.008548578059229912
1.16,9.872100205021584e-06,0.008152052357707896
1.19,9.11035915957246e-06,0.009311900576260135
1.23,9.039446470939874e-06,0.008916487839449282
1.26,8.780968821719602e-06,0.008767600243542523
1.3,8.808836473722769e-06,0.006979264212793444
1.34,9.320835788340569e-06,0.007836667643087474
1.37,8.79029320819524e-06,0.009017060908661402
1.41,8.67529812251587e-06,0.00748721000720901
1.45,8.836130896984762e-06,0.007955680475989215
1.49,8.73946945460113e-06,0.007925196708730046
1.53,8.458904109875207e-06,0.008698898117193791
1.57,8.301640952120632e-06,0.007468630462805597
1.61,8.499881838361459e-06,0.007858469333340523
1.65,8.091499509699546e-06,0.007313991225632131
1.69,8.156566339424043e-06,0.00808316685541802
1.73,8.413229815248716e-06,0.00852538515423244
1.78,8.223306410857588e-06,0.007036063499959653
1.82,8.291303119453734e-06,0.0077883133651998745
1.86,8.042812992733029e-06,0.0074079721075411215
1.91,8.043354257270331e-06,0.007157732546365406
1.96,7.894890560828218e-06,0.00819486485801454
2.0,7.698922940471112e-06,0.008596632608485293
2.05,7.562045842756426e-06,0.00800899525017044
2.1,7.427114733108178e-06,0.007639901174790611
2.14,7.251669681524871e-06,0.009847629566037942
2.19,7.068778739788115e-06,0.008412325127420808
2.24,9.360794603099155e-06,0.006273394018438867
2.29,6.8174535561974595e-06,0.00844266969528574
2.34,6.633809244943494e-06,0.008528831404154582
2.4,6.427713923702791e-06,0.007543406972641089
2.45,6.379037897317642e-06,0.007727536145826443
2.5,6.1835740722922665e-06,0.008335925181033545
2.56,6.067366693178265e-06,0.008440211217164895
2.61,5.851785390395578e-06,0.009180255057863337
2.66,5.729677912533128e-06,0.009544641754924022
2.72,5.499620687061497e-06,0.007881202055791391
2.78,5.3838488969093165e-06,0.00819321742751406
2.83,5.228528460505495e-06,0.008069511379010293
2.89,5.054302573615606e-06,0.007649951249568452
2.95,4.891217539590782e-06,0.0074857013045930565
3.01,4.800941142907768e-06,0.008592332576251992
3.07,4.639817508044835e-06,0.009454248269597726
3.13,4.355823661881186e-06,0.00892146949699568
3.19,4.182091671471822e-06,0.00915729160833081
3.25,4.1444730951161505e-06,0.008633586165768231
3.32,3.893302789560584e-06,0.00895905394471697
3.38,3.7852518617447602e-06,0.009547681775665723
3.45,3.541894781327055e-06,0.009580961753465764
3.51,3.4140462816599423e-06,0.01044235552452828
3.58,3.293491909537037e-06,0.009175325560993644
3.65,3.0871323363222707e-06,0.00875307726162563
3.71,2.8922582029272627e-06,0.010642025905956642
3.78,2.765094272094892e-06,0.011299774008059003
3.85,2.5940028132775003e-06,0.010358664030626727
3.92,2.4437756396980966e-06,0.010406868618327587
3.99,2.2990420240573525e-06,0.011824510701903393
4.06,2.153270614636332e-06,0.011325150695013862
4.14,2.045981156146581e-06,0.010121025205724263
4.21,1.839665433481083e-06,0.012497854139299117
4.29,1.7433385488370587e-06,0.012358791390475283
4.36,1.856188404062532e-06,0.013712636380425747
4.44,2.1855129186387536e-06,0.01103181685700835
4.51,1.5879401969312892e-06,0.012382453549506811
4.59,1.3436349453631624e-06,0.014144980447438164
4.67,2.0127603577491957e-06,0.009582345185777908
4.75,1.453979419922106e-06,0.014325468136558871
4.83,7.989621807417406e-07,0.018031091779703173
4.91,7.643693164992348e-07,0.01756256471620703
5.0,6.700130852160132e-07,0.019108841309054006
5.08,6.026367298118046e-07,0.01892695883933858
5.17,5.670477123853662e-07,0.01778848299939543
5.25,5.035700609889841e-07,0.022276215993128328
5.34,1.1557225582049872e-06,0.014275061573434042
5.43,3.4098427607363117e-07,0.023371255492569194
5.51,5.073895586488645e-07,0.021062276115360417
5.6,2.0521078032561476e-07,0.031259549791510514
5.69,2.9926082284145826e-07,0.025586145677589187
5.79,4.709255252178728e-07,0.01805974744567734
5.88,3.118818341412013e-07,0.02341197194756169
5.97,8.668921815528323e-08,0.05059799800649294
6.07,3.1808844526297025e-07,0.025228950562908855
6.16,3.477740213701844e-07,0.021069214881059325
6.26,1.819622091604332e-07,0.03254121568507997
6.36,1.3992767441041218e-07,0.035923750251788074
6.46,1.245180740457063e-07,0.037062330179201845
6.55,1.284533159718273e-07,0.043416887555125065
6.66,3.603659030320419e-08,0.09170472135841551
6.76,1.7036646518057237e-08,0.14090007078487732
6.86,3.485446511862478e-08,0.06979513868901804
6.97,1.399504789793516e-08,0.14646494460766515
7.07,1.2603941028511654e-08,0.16115010868634969
7.18,1.0185714272809542e-08,0.18698113092199464
7.28,4.4494569648326185e-08,0.06456996342203755
7.39,2.0452845603339565e-07,0.02918300704493084
7.5,9.58631925861575e-08,0.040384486479765655
7.62,5.2804195353365165e-08,0.05972272173686351
7.73,2.1153432583859565e-08,0.08482043985508406
7.84,3.3893785074275704e-08,0.08267688357506497
7.96,2.087958165107676e-08,0.0897598516935058
8.07,7.1044581865155034e-09,0.17338795015704633
8.19,1.5328446324293912e-08,0.11174087952049185
8.31,7.851312474854757e-09,0.17499053392527844
8.43,4.24463521120455e-09,0.2195804865596124
8.55,5.231514837332733e-08,0.054075800999118864
8.67,2.266198138196164e-08,0.08760461107543255
8.79,1.5164622877848958e-08,0.10892361029583371
8.92,9.005185081209508e-09,0.15461479650678808
9.04,1.0438245574990497e-07,0.033577239128234355
9.17,5.0597844616812566e-08,0.0594339431926034
9.3,4.676528151898106e-09,0.19138466548115984
9.43,4.774270790208749e-09,0.2385452378804057
