Energy,Value,Error
1.11,5.342429937452126e-05,0.00026031427539094045
1.18,8.206101847196536e-07,0.006301680031529903
1.25,6.747690476015983e-07,0.006544639824681752
1.32,5.524460400823035e-07,0.007184267574179737
1.39,4.7302560336207184e-07,0.007497887655068542
1.47,3.9814273434885487e-07,0.008183832442050176
1.54,3.3734272074580075e-07,0.010952340939113752
1.62,2.936452553150383e-07,0.009477999876784809
1.69,2.5723840315319705e-07,0.011832552947222399
1.77,2.3473197099993972e-07,0.010869653747959446
1.85,2.0614521676449428e-07,0.013473956312445913
1.92,1.8596405416999967e-07,0.014129358172417042
2.0,1.717946057849197e-07,0.012340153798173182
2.08,1.5358454615961976e-07,0.014753826279642833
2.16,1.3616691410303212e-07,0.014632708496640057
2.24,1.3281799237967425e-07,0.015079132829418493
2.32,1.1608823640921048e-07,0.016159052759751786
2.4,1.0933911734824313e-07,0.019598337390847535
2.48,1.0224070166033639e-07,0.02108443495521988
2.56,9.248642511342762e-08,0.019280056616979395
2.64,9.134038155969183e-08,0.020436586882261517
2.72,8.312488249948194e-08,0.017549401304954186
2.81,7.608176248919185e-08,0.018858155204062
2.89,6.992837177605525e-08,0.025966462761862576
2.97,6.393347484953599e-08,0.0231248563717765
3.06,6.51913676443877e-08,0.026619446469291125
3.14,6.056603521936127e-08,0.02194963482734599
3.23,5.5171651464398437e-08,0.023252942298416485
3.31,5.1117024908273073e-08,0.0237083687302247
3.4,4.812732612290844e-08,0.02282395919272272
3.49,4.6521114540766546e-08,0.02507293351106295
3.58,4.151790577874284e-08,0.024772764542460357
3.66,4.224762953674281e-08,0.0321315522981328
3.75,4.092992562034451e-08,0.028484118196647416
3.84,3.711974021359324e-08,0.02970719372969959
3.93,3.596557099494405e-08,0.028906254065904875
4.02,3.2318655550538506e-08,0.031647607312691714
4.11,3.282087162973488e-08,0.03308093759233826
4.2,3.200218271175735e-08,0.03302071264650992
4.29,2.8964143851385254e-08,0.02970760027986275
4.38,2.5721337745066053e-08,0.03692941927864899
4.47,2.7824626788907584e-08,0.03178727443846934
4.57,2.616077544673686e-08,0.030886091470057584
4.66,2.6022237647605736e-08,0.038341852867030006
4.75,2.464178147154815e-08,0.04153837863847174
4.85,2.2598048550708113e-08,0.0379703669891055
4.94,2.215368186921274e-08,0.0453708842750791
5.03,2.175877029244919e-08,0.040430042942664446
5.13,2.027584871658002e-08,0.03834572121139806
5.22,2.0726905714765623e-08,0.04310855445478748
5.32,1.7357972682367565e-08,0.030855690301692044
5.42,1.7264925447702654e-08,0.03839284312233584
5.51,1.777745835428425e-08,0.046700020348210636
5.61,1.731925126954114e-08,0.04415240617298072
5.71,1.841881707317807e-08,0.04109479585201298
5.81,1.6412905430195126e-08,0.0368859551074363
5.9,1.6512115430754638e-08,0.05268948260209829
6.0,1.645111847566737e-08,0.04351262573738868
6.1,1.6339173961834983e-08,0.052140558499351446
6.2,1.533739618748862e-08,0.04303045701408198
6.3,1.673755633340578e-08,0.06944498924646217
6.4,1.352658480105802e-08,0.05093516181274315
6.5,1.4621166732277914e-08,0.04605204133794043
6.6,1.4298461900724182e-08,0.04573734704299585
6.7,1.52656510017231e-08,0.04733411695697867
6.81,1.4837959246732913e-08,0.04198021436011099
6.91,1.4241422006680261e-08,0.047438430722572485
7.01,1.5093219485266865e-08,0.04442361963041535
7.11,1.4286260464963026e-08,0.05231037521721813
7.22,1.458995045620107e-08,0.04709517858965631
7.32,1.4759375830067913e-08,0.03920145349502219
